name;style;guide_price_usd;bedrooms;bathrooms;Levels;total_built_area_sqft;short_description
bauhu-sky;Contemporary;229000;2;2;1;900;Compact minimalist open-plan home with modern aesthetics
bauhu-arc;Contemporary;199000;3;2;1;1100;Family home/holiday retreat with stylish contemporary design
bauhu-ice;Contemporary;198800;2;2;1;1200;Contemporary home with covered terrace and en-suite bedrooms
bauhu-eon;Contemporary;199000;3;2;1;1200;Island-style roof with extended terrace and modern comforts
bauhu-zen;Contemporary;229000;2;2;1;1200;Modern design with en-suite bedrooms opening to terrace
bauhu-air;Contemporary;229000;2;2;1;880;Hillside/sloping site optimized minimalist design
bauhu-abaco;Classic ;992000;4;4.5;2;3700;Spacious family home in Caribbean colonial style.
bauhu-azure;Caribbean ;;2;2;1;1300;A hurricane-resistant, modular, and sustainable two-bedroom home described as a modern oasis bringing together resilience, adaptability, and eco-friendly design
bauhu-angel;Contemporary;318600;3;2;1;1500;Contemporary sustainable design with expansive covered terrace
bauhu-jade;Contemporary;1150000;4;3;1;3563;Sleek modern luxury villa with cutting-edge design
bauhu-amber;Contemporary;995000;4;4;2;3660;High-end architectural villa with innovative materials
bauhu-topaz;Contemporary;930000;4;4;1;3724;Ultra-luxury design with innovative sustainable features
bauhu-moonstone;Contemporary;1315000;4;3;1;4680;Luxury villa pinnacle with premium finishes and amenities
bauhu-cat-island;Contemporary;398000;2;2;1;1450;Elegant elevated contemporary villa.
bauhu-caribbean-cottage;Classic;238700;1;1;1;650;Compact vacation rental/guest house with covered terrace
bauhu-coconut-cottage;Classic;229900;2;2;1;862;Charming small home/guest cottage with character
bauhu-coconut-villa-2;Classic;296000;2;2;1;1230;Spacious single-floor family home with open-plan living
bauhu-coconut-villa-3;Classic;346000;3;3;1;1377;Spacious single-floor family home with open-plan living
bauhu-charlston;Caribbean ;;2;2;1;1163;A compact villa with two large bedroom suites and open plan kitchen/living area, with direct access to an expansive wrap-around deck
bauhu-bahama-beach;Classic;285900;3;2;1;1140;Sustainable hurricane-resistant modern coastal home
bauhu-grapetree;Classic;399000;3;2;1;1850;Well-proportioned three-bedroom family home
bauhu-skyline;Contemporary;1486000;4;4.5;3;5700;A large, modern multi-story luxury villa featuring expansive glass windows wrapping around the entire home. 
bauhu-sailfish;Classic;562000;3;3;1;2260;Luxurious contemporary villa with covered terrace
bauhu-barbados-blue;Classic;339800;2;2;1;1281;Contemporary home with spacious bedroom suites
bauhu-sunset-cove;Classic;388600;2;2;1;1800;Spacious open-plan home with expansive covered terrace
bauhu-falcon-500;Contemporary;102000;2;1;1;500;Entry-level standalone home with hurricane-safe standards
